type,step,value,grad_norm,lr
train,40,2.9296,57.860843658447266,4.900000000000001e-07
train,101,1.0542,45.79323196411133,9.9e-07
train,142,0.3524,7.3607378005981445,1.4900000000000001e-06
train,202,0.2603,27.560529708862305,1.9900000000000004e-06
train,243,0.2502,16.10120964050293,2.4900000000000003e-06
train,304,0.2134,nan,2.99e-06
train,344,0.1615,7.315824508666992,3.49e-06
train,405,0.1511,24.670909881591797,3.990000000000001e-06
train,445,0.1862,20.12177276611328,4.49e-06
train,506,0.1885,12.37770938873291,4.9900000000000005e-06
train,546,0.1638,29.076086044311523,4.930947012401353e-06
train,607,0.1452,34.95679473876953,4.860484780157836e-06
train,648,0.1646,25.490497589111328,4.790022547914318e-06
train,708,0.1431,35.41055679321289,4.719560315670801e-06
train,749,0.1237,13.178342819213867,4.649098083427283e-06
train,810,0.1363,11.252373695373535,4.578635851183766e-06
train,850,0.1191,16.70450210571289,4.508173618940249e-06
train,891,0.1098,10.866951942443848,4.437711386696731e-06
train,951,0.1034,15.685297966003418,4.367249154453214e-06
train,992,0.1035,0.6124850511550903,4.296786922209696e-06
train,1052,0.1081,2.1886062622070312,4.226324689966179e-06
train,1093,0.1226,6.997456073760986,4.1558624577226605e-06
train,1154,0.1288,0.3288813829421997,4.085400225479144e-06
train,1194,0.0844,1.879325032234192,4.0149379932356255e-06
train,1255,0.1292,9.630565643310547,3.944475760992109e-06
train,1295,0.0794,0.7596927285194397,3.874013528748591e-06
eval,101,0.483469158411026,,
eval,202,0.22830992937088013,,
eval,304,0.17026658356189728,,
eval,405,0.1580362766981125,,
eval,506,0.1474851816892624,,
eval,607,0.13432776927947998,,
eval,708,0.12412852793931961,,
eval,810,0.11060574650764465,,
eval,891,0.10870730876922607,,
eval,992,0.11131028831005096,,
eval,1093,0.09746866673231125,,
eval,1194,0.09832648187875748,,
eval,1295,0.1002737358212471,,
